PID,AGE,SQ,Nor_AGE,Nor_SQ,Gender,Type
211,35,24,0.33,0.37,2,1
212,35,48,0.33,0.77,2,1
213,35,30,0.33,0.47,2,1
214,35,21,0.33,0.32,2,1
215,35,29,0.33,0.45,2,1
216,35,29,0.33,0.45,2,1
217,35,24,0.33,0.37,2,1
218,35,54,0.33,0.87,2,1
219,35,22,0.33,0.33,2,1
220,35,33,0.33,0.52,2,1
221,35,22,0.33,0.33,2,1
222,35,25,0.33,0.38,2,1
223,35,22,0.33,0.33,2,1
224,35,32,0.33,0.5,2,1
225,35,23,0.33,0.35,2,1
226,35,24,0.33,0.37,2,1
227,35,39,0.33,0.62,2,1
228,35,33,0.33,0.52,2,1
229,35,30,0.33,0.47,2,1
230,35,22,0.33,0.33,2,1
231,35,37,0.33,0.58,2,1
232,35,14,0.33,0.2,2,1
233,35,59,0.33,0.95,2,1
234,35,22,0.33,0.33,2,1
235,35,19,0.33,0.28,2,1
236,35,62,0.33,1,2,1
237,35,24,0.33,0.37,2,1
238,35,22,0.33,0.33,2,1
239,35,31,0.33,0.48,2,1
240,35,25,0.33,0.38,2,1
241,37,28,0.39,0.43,1,0
242,37,15,0.39,0.22,1,0
243,37,21,0.39,0.32,1,0
244,37,18,0.39,0.27,1,0
245,37,10,0.39,0.13,1,0
246,37,23,0.39,0.35,1,0
247,37,29,0.39,0.45,1,0
248,37,20,0.39,0.3,1,0
249,37,23,0.39,0.35,1,0
250,37,29,0.39,0.45,1,0
251,37,21,0.39,0.32,1,0
252,37,21,0.39,0.32,1,0
253,37,26,0.39,0.4,1,0
254,37,18,0.39,0.27,1,0
255,37,23,0.39,0.35,1,0
256,37,18,0.39,0.27,1,0
257,37,20,0.39,0.3,1,0
258,37,13,0.39,0.18,1,0
259,37,13,0.39,0.18,1,0
260,37,18,0.39,0.27,1,0
261,37,20,0.39,0.3,1,0
262,37,6,0.39,0.07,1,0
263,37,22,0.39,0.33,1,0
264,37,4,0.39,0.03,1,0
265,37,17,0.39,0.25,1,0
266,37,26,0.39,0.4,1,0
267,37,13,0.39,0.18,1,0
268,37,18,0.39,0.27,1,0
269,37,14,0.39,0.2,1,0
270,37,19,0.39,0.28,1,0
271,37,19,0.39,0.28,1,0
272,37,21,0.39,0.32,1,0
273,37,12,0.39,0.17,1,0
274,37,16,0.39,0.23,1,0
275,37,23,0.39,0.35,1,0
276,37,21,0.39,0.32,1,0
277,37,27,0.39,0.42,1,0
278,37,26,0.39,0.4,1,0
279,37,24,0.39,0.37,1,0
280,37,15,0.39,0.22,1,0
281,34,23,0.31,0.35,2,0
282,34,23,0.31,0.35,2,0
283,34,21,0.31,0.32,2,0
284,34,13,0.31,0.18,2,0
285,34,20,0.31,0.3,2,0
286,34,11,0.31,0.15,2,0
287,34,26,0.31,0.4,2,0
288,34,23,0.31,0.35,2,0
289,34,18,0.31,0.27,2,0
290,34,20,0.31,0.3,2,0
291,34,22,0.31,0.33,2,0
292,34,28,0.31,0.43,2,0
293,34,16,0.31,0.23,2,0
294,34,23,0.31,0.35,2,0
295,34,18,0.31,0.27,2,0
296,34,10,0.31,0.13,2,0
297,34,20,0.31,0.3,2,0
